Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-DEC-2022|AALI|EQUITY|1924688333|8025|66295371|20810324|8363487|49700|145348649|17933198|576484|3778721|4954427|268110361|3765725|4834291|24774086|10055203|1347552|36970427|31452281|227997|9251670|122679232
30-DEC-2022|ABBA|EQUITY|3935892857|151|181790000|2343291105|6524300|0|886004939|0|531|0|11353800|3428964675|0|20400|0|40502785|6866500|0|1301900|0|0|48691585
30-DEC-2022|ABDA|EQUITY|620806680|6700|0|40248|0|98|393882|0|7500|506484|20|948232|588313138|0|0|3500|400|0|4400|0|30499400|618820838
30-DEC-2022|ABMM|EQUITY|2753165000|3280|2399100|1494378033|0|15000|328089000|88800|234532|0|572200|1825776665|269600|709919136|15023162|14490857|510300|16144894|4539668|4429065|162061653|927388335
30-DEC-2022|ACES|EQUITY|17150000000|496|302769415|360347300|41451211|0|2429975291|226916983|11793976|11588900|54100|3384897176|9658600|183742258|813119601|685446769|9744000|909777518|216136147|128400|652349531|3480102824
30-DEC-2022|ACST|EQUITY|12675160000|157|0|11198903535|0|0|1428188134|29350000|1237|0|80|12656442986|0|120|0|8985644|4484435|0|5230795|0|16020|18717014
30-DEC-2022|ADCP|EQUITY|22222222200|67|2550000|455188200|6760000|0|1530156700|911000|1558700|200|220732300|2217857100|0|0|0|806900|3558200|0|0|0|0|4365100
30-DEC-2022|ADES|EQUITY|589896800|7175|0|715800|58500|350|40150177|20000|411|0|0|40945238|0|540411613|159600|6671424|92500|87300|180000|0|326697|547929134
30-DEC-2022|ADHI|EQUITY|8407608979|484|80371739|181448873|97483444|3000000|2083946800|147460435|29109567|28987451|1040247|2652848556|0|25303336|106145807|17373112|5913425|96402198|90291234|0|4547519|345976631
30-DEC-2022|ADMF|EQUITY|1000000000|9000|4459700|645100|0|920700000|41036700|9843700|120059|0|0|976805259|22100|480231|668639|12067874|473000|1010766|4217431|103000|4051700|23094741
30-DEC-2022|ADMG|EQUITY|3889179559|151|1030000|994220200|2292400|0|504205287|83|450027|0|0|1502197997|0|1662400|0|3562747|2747700|0|4323896|0|43|12296786
30-DEC-2022|ADMR|EQUITY|40882331500|1695|802539900|34850707020|94988200|0|2118819000|711468800|1631568|15858300|24400|38596037188|17174200|1303694550|16068000|228809989|58292100|117665375|42483400|0|502106698|2286294312
