Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-SEP-2022|AALI|EQUITY|1924688333|8250|69878471|18364424|8540787|49700|126147149|17693868|1364597|3778721|4883727|250701444|3453025|10040936|27184244|10503276|1075852|43847685|32199929|388197|11395005|140088149
30-SEP-2022|ABBA|EQUITY|3935892857|214|168813400|2361294364|3454000|0|894430635|0|50291|0|0|3428042690|0|20400|0|40793185|7498085|0|1301900|0|0|49613570
30-SEP-2022|ABDA|EQUITY|620806680|6025|21885|264753|0|98|835122|0|30506900|732884|0|32361642|541197934|0|0|46203500|1300|0|4400|0|62|587407196
30-SEP-2022|ABMM|EQUITY|2753165000|3960|247500|1482642733|0|12000|313018600|1602700|241883|478100|157200|1798400716|59900|729263067|11279908|33241857|589800|15504027|4146968|2965780|157712977|954764284
30-SEP-2022|ACES|EQUITY|17150000000|610|115207922|260766800|37889911|0|1492929991|114719424|5963935|10235100|461900|2038174983|8703500|328297947|1345227923|608706241|23880300|1363447277|179439298|128400|968994131|4826825017
30-SEP-2022|ACST|EQUITY|12675160000|176|0|11198028635|200000|0|1423161697|29350000|1154|0|500000|12651241486|0|420320|0|14422244|3758135|0|5301795|0|16020|23918514
30-SEP-2022|ADCP|EQUITY|22222222200|81|1160000|454173100|3849100|0|1523043500|911000|1558700|100|220732300|2205427800|0|0|0|12163400|4631000|0|0|0|0|16794400
30-SEP-2022|ADES|EQUITY|589896800|7175|0|748000|58500|350|40033477|17100|411|0|0|40857838|0|540384813|159600|6796924|91900|76600|180000|0|326697|548016534
30-SEP-2022|ADHI|EQUITY|3560849376|715|90257037|81952077|97652957|3000000|1092093648|166846652|22315215|28987451|245000|1583350037|0|9959538|44080098|14085103|4187271|43919543|40845643|0|4365519|161442715
30-SEP-2022|ADMF|EQUITY|1000000000|8300|4366800|682900|0|920700000|40509500|9764800|90100|0|0|976114100|22100|471331|668639|12775718|477700|1025766|4156931|103000|4084715|23785900
30-SEP-2022|ADMG|EQUITY|3889179559|167|1030000|994200100|2292400|0|504225387|83|450027|0|0|1502197997|0|1662400|0|3562747|2747700|0|4323896|0|43|12296786
30-SEP-2022|ADMR|EQUITY|40882331500|1800|623007100|34887127820|91049600|0|1574999400|516091091|3337|10164200|11600|37702454148|22674400|1549911656|145785637|246928617|58750800|332929103|11826300|3382900|807687939|3179877352
30-SEP-2022|ADRO|EQUITY|31985962000|3960|1342661119|16826639880|95566900|7000|6225020041|1009398287|103956284|23350800|1421800|25628022111|58383361|847433062|1017858342|754287379|12771172|1489758005|347180849|74147800|1756119919|6357939889
30-SEP-2022|AGAR|EQUITY|1000000000|292|0|798974700|0|0|201002900|0|0|0|0|999977600|0|200|0|0|22200|0|0|0|0|22400
30-SEP-2022|AGII|EQUITY|3066660000|2350|9736100|1598688726|8908300|0|271721891|61490280|578980|1178700|0|1952302977|0|3070000|0|60630040|17302900|1208300|12479900|0|115113700|209804840
30-SEP-2022|AGRO|EQUITY|22746905982|550|35120205|58710304|840862173|19429762386|1676152079|83071951|2611|515800|1203971|22125401480|0|19283128|26873116|27347304|1429954|393908904|65848611|0|7750320|542441337
30-SEP-2022|AGRS|EQUITY|27649535711|90|0|281095003|0|20158930|1718020377|0|146|0|1749600|2021024056|0|0|0|3111714|17381144|0|6387443|0|6136453340|6163333641
30-SEP-2022|AHAP|EQUITY|4900000000|85|3066343009|206844481|0|0|1361080543|0|679034|0|0|4634947067|64086000|100|0|714200|194688307|0|1223413|0|55|260712075
30-SEP-2022|AIMS|EQUITY|220000000|242|0|180441890|0|0|39377210|0|18000|0|0|219837100|0|0|0|100|2000|0|10800|0|0|12900
30-SEP-2022|AISA|EQUITY|9311800000|164|169620583|6946755458|4189400|0|1712723689|7088900|539425|100000|8794615|8849812070|250000|322012153|2486500|58842267|10726100|22404222|34274855|0|10364333|461360430
30-SEP-2022|AKKU|EQUITY|6449463636|50|0|5518816100|0|0|624278336|0|11482900|6700|0|6154584036|0|196189000|0|0|1050200|0|2105400|0|95535000|294879600
30-SEP-2022|AKPI|EQUITY|612248000|1635|4000|145574873|0|2|28264871|17500|2122|0|0|173863368|0|14200|34|1|21703|0|323300|0|10300|369538
30-SEP-2022|AKRA|EQUITY|20073474600|1350|433698300|2685979000|84615800|5000000|818164060|766966318|31926280|12894600|1603100|4840847458|51549935|520761283|655134582|791145763|29561100|1737678005|280697596|33955900|1420513878|5520998042
30-SEP-2022|AKSI|EQUITY|720000000|316|0|3550444|0|0|53977756|0|0|0|0|57528200|0|0|0|0|10000|0|300|0|0|10300
30-SEP-2022|ALDO|EQUITY|1316856070|655|0|924794766|0|0|390999041|1000000|41|0|0|1316793848|0|0|0|23166|39000|0|0|0|56|62222
30-SEP-2022|ALKA|EQUITY|507665055|290|0|11021250|0|77500|24093205|0|21200|0|0|35213155|0|0|0|260000|2645423|0|3000|0|0|2908423
30-SEP-2022|ALMI|EQUITY|3816000000|392|0|96650540|0|0|49065800|0|303000|0|0|146019340|0|0|0|32923200|366000|0|195200|0|0|33484400
