Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-OCT-2022|AALI|EQUITY|1924688333|8500|67209771|19090924|8404787|49700|137548349|18144679|1282761|3778721|4783127|260292819|3296725|7978436|26583744|10246076|1136252|38973270|31621029|227997|10433245|130496774
31-OCT-2022|ABBA|EQUITY|3935892857|187|168813400|2371485464|3454000|0|884377493|0|518|0|0|3428130875|0|20400|0|40602085|7601000|0|1301900|0|0|49525385
31-OCT-2022|ABDA|EQUITY|620806680|6700|21885|264753|0|98|1062422|0|30506900|506484|0|32362542|541197934|0|0|46203500|400|0|4400|0|62|587406296
31-OCT-2022|ABMM|EQUITY|2753165000|3950|1352800|1487708033|0|12000|316412700|98300|184024|0|176700|1805944557|59900|720102267|13663608|27179757|596700|17178227|4959027|3066365|160414592|947220443
31-OCT-2022|ACES|EQUITY|17150000000|565|128670722|286776200|37690911|0|1835109791|226838337|12758945|10275100|463800|2538583806|10513500|223703851|1184363323|680831317|10984600|1222926252|192436222|128400|800528729|4326416194
31-OCT-2022|ACST|EQUITY|12675160000|177|0|11198328535|0|0|1429765697|29350000|1154|0|0|12657445386|0|120|0|8936544|3460135|0|5301795|0|16020|17714614
31-OCT-2022|ADCP|EQUITY|22222222200|75|2550000|454228100|3849100|0|1524356400|911000|1558700|200|220732300|2208185800|0|0|0|9086400|4950000|0|0|0|0|14036400
31-OCT-2022|ADES|EQUITY|589896800|7200|0|702400|58500|350|40012277|20000|411|0|0|40793938|0|540411613|159600|6815324|99900|87300|180000|0|326697|548080434
31-OCT-2022|ADHI|EQUITY|7316684918|555|86310037|82985377|95384357|3000000|1282439759|137219652|21500295|28987451|245000|1738071928|0|9906338|45448098|13609503|4209054|44493843|41075743|1363800|9722819|169829198
31-OCT-2022|ADMF|EQUITY|1000000000|8600|4366800|691700|0|920700000|40353400|9838500|100100|0|0|976050500|22100|471331|668639|12779418|477700|1025766|4216831|103000|4084715|23849500
31-OCT-2022|ADMG|EQUITY|3889179559|159|1030000|994220100|2292400|0|504205387|83|450027|0|0|1502197997|0|1662400|0|3562747|2747700|0|4323896|0|43|12296786
31-OCT-2022|ADMR|EQUITY|40882331500|1730|650427700|35008677620|89391600|0|1553747700|415341437|1317|9804800|0|37727392174|24888400|1522702317|152170166|204298917|58466900|365578552|13917300|3382900|809533874|3154939326
31-OCT-2022|ADRO|EQUITY|31985962000|3980|1338946019|16809183680|91964300|7000|6174601341|941040976|101485058|23021500|1521800|25481771674|55640261|812679995|1073302427|773718972|10835872|1554369357|356538991|74147800|1792956651|6504190326
31-OCT-2022|AGAR|EQUITY|1000000000|298|0|798974700|0|0|201002900|0|0|0|0|999977600|0|200|0|0|22200|0|0|0|0|22400
31-OCT-2022|AGII|EQUITY|3066660000|2050|10118400|1596784226|8706900|0|276209891|69048678|701082|1293700|0|1962862877|0|2804700|82300|50008740|17014900|1353600|12867000|0|115113700|199244940
31-OCT-2022|AGRO|EQUITY|22746905982|595|38285505|53534904|802334873|19429762386|1696382358|104461009|2907|515800|2116571|22127396313|0|18964728|26873069|23520304|2004168|400411404|65828611|0|2844220|540446504
31-OCT-2022|AGRS|EQUITY|27649535711|95|0|363235672|0|20158930|1715809977|0|146|0|1709600|2100914325|0|0|0|3219014|19021144|0|6691843|0|6136453340|6165385341
31-OCT-2022|AHAP|EQUITY|4900000000|95|3066343009|183317981|0|0|1384659643|0|579034|0|0|4634899667|64086000|0|0|711700|194688307|0|1273413|0|55|260759475
31-OCT-2022|AIMS|EQUITY|220000000|226|0|180441890|0|0|39377210|0|18000|0|0|219837100|0|0|0|100|2000|0|10800|0|0|12900
31-OCT-2022|AISA|EQUITY|9311800000|174|169620583|6962182858|3970400|0|1730178189|14088900|539425|100100|8794615|8889475070|250000|320936953|1927300|54481112|10662200|3335200|29557171|0|547494|421697430
31-OCT-2022|AKKU|EQUITY|6449463636|50|0|5518816100|0|0|624278336|0|11482900|6700|0|6154584036|0|196189000|0|0|1050200|0|2105400|0|95535000|294879600
31-OCT-2022|AKPI|EQUITY|612248000|1485|4000|145574873|0|2|28373971|17500|2122|0|0|173972468|0|14200|34|1|21703|0|214200|0|10300|260438
31-OCT-2022|AKRA|EQUITY|20073474600|1560|462088000|2687497500|63507600|5000000|756189360|794951669|36751272|11562600|1403300|4818951301|43075635|514407183|620764254|805298363|29525000|1687592962|289938296|33955900|1518336606|5542894199
31-OCT-2022|AKSI|EQUITY|720000000|292|0|3550444|0|0|53977756|0|0|0|0|57528200|0|0|0|0|10000|0|300|0|0|10300
31-OCT-2022|ALDO|EQUITY|1316856070|810|0|924853066|0|0|390931041|1000000|41|0|10000|1316794148|0|0|0|28366|33500|0|0|0|56|61922
31-OCT-2022|ALKA|EQUITY|507665055|292|0|11021250|0|77500|24093205|0|21200|0|0|35213155|0|0|0|260000|2645423|0|3000|0|0|2908423
