Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-NOV-2022|AMAN|EQUITY|3873500000|700|0|0|0|0|584970200|0|0|0|0|584970200|0|0|0|29600|0|0|200|0|0|29800
30-NOV-2022|AMAR|EQUITY|13820372000|384|0|38712972|0|0|703666829|1154600|250188|0|16800|743801389|0|10764919941|1670900|1726581382|1738520|3962800|393268568|0|617500|12892759611
30-NOV-2022|AMFG|EQUITY|434000000|5975|23500|13576982|0|0|35927900|140700|41076|0|0|49710158|114800|21825900|162700|1232300|23000|1152800|10307259|76900|180183|35075842
30-NOV-2022|AMIN|EQUITY|1080000000|117|0|12500000|0|0|67875100|0|0|0|0|80375100|0|17438300|0|0|140258100|0|192800|0|1735700|159624900
30-NOV-2022|AMMS|EQUITY|1200000000|50|0|10280400|0|0|228538700|0|0|0|0|238819100|0|0|0|319100|861800|0|0|0|0|1180900
30-NOV-2022|AMOR|EQUITY|2222222400|1320|37365400|346495400|0|0|427938400|0|6299600|0|0|818098800|10730454|149400|198200|51280500|1016000|3922000|1847900|0|859146|70003600
30-NOV-2022|AMRT|EQUITY|41524501700|3090|570231500|23611312034|37024200|0|2399004035|351881825|1942|2924700|967700|26973347936|162835604|2783161322|894648908|1693804511|559100|3369483082|1949190861|24904800|3672565576|14551153764
30-NOV-2022|ANDI|EQUITY|9350000000|50|25543605|797718380|1017800|0|1587585197|1499648561|266804208|2697600|517767900|4698783251|0|0|0|5000|1159949|0|21800|0|0|1186749
30-NOV-2022|ANJT|EQUITY|3354175000|720|87995100|76522736|0|45000|171835627|100|0|0|47400|336445963|323100|2027500|1388400|6823100|742337|1923600|3201200|0|1299800|17729037
30-NOV-2022|ANTM|EQUITY|24030764725|1985|993451899|99190484|107149345|4506112|3314605632|601247872|126427874|17714950|21244294|5285538462|26796901|151148287|730133350|302718572|14462445|1099544230|201237250|4183400|554468383|3084692818
30-NOV-2022|APEX|EQUITY|2796804997|306|0|1806424179|0|0|95402101|0|4534|0|0|1901830814|0|573737577|0|243415947|29200|0|77787|0|0|817260511
30-NOV-2022|APIC|EQUITY|11766313488|1120|770258950|8917480080|0|0|202905268|532613257|629394097|10150000|0|11062801652|9485300|22881835|27115591|427386919|250|69795800|12820400|0|134025741|703511836
30-NOV-2022|APII|EQUITY|1075760000|204|0|101000|0|0|57331800|0|0|0|0|57432800|0|324400|0|819000|36859800|0|36165500|0|143010500|217179200
30-NOV-2022|APLI|EQUITY|1362671400|192|0|201399300|0|0|559824900|0|165000|0|0|761389200|0|0|0|0|170400|0|1010800|0|0|1181200
30-NOV-2022|APLN|EQUITY|22699326779|162|5283600|9334528198|2000000|0|3156558716|11097000|77268870|700000|390000|12587826384|0|9027406|22766492|306013696|7508800|9152500|2151761|5037608|56062132|417720395
30-NOV-2022|APOL|EQUITY|16452282461|50|0|649059480|1400000|0|768300759|0|90507820|14086735|500000|1523854794|0|2653784186|0|1180647657|16069992|0|1410334020|0|85088011|5345923866
30-NOV-2022|ARCI|EQUITY|24835000000|336|56320800|21059405817|308200|0|551311883|1500000|115622058|0|0|21784468758|0|2515300|0|296505250|6262100|648510|2600526342|0|144073740|3050531242
30-NOV-2022|ARGO|EQUITY|335557450|1160|45000|37038014|0|0|565550|0|83000|0|0|37731564|0|280|0|5378000|11350|0|5100|0|5720|5400450
30-NOV-2022|ARII|EQUITY|3431000000|344|117981800|1519871800|62900|0|571296900|141431400|0|0|0|2350644800|0|312867600|0|216642400|2222800|0|1520000|0|59741400|592994200
30-NOV-2022|ARKA|EQUITY|2000000000|50|0|1128862900|0|0|859151800|0|0|0|0|1988014700|0|250100|0|0|5510400|0|4974800|0|0|10735300
30-NOV-2022|ARKO|EQUITY|2928495000|685|0|2317820293|0|0|273083100|0|0|0|0|2590903393|0|295175007|0|38883600|443600|0|0|0|3089400|337591607
30-NOV-2022|ARMY|EQUITY|9006250000|50|1153053569|2777147198|5410161|0|1579255507|1968955176|279957887|2541349|495435095|8261755942|0|488927400|0|32396000|1064158|1687200|4800|0|0|524079558
30-NOV-2022|ARNA|EQUITY|7341430976|1045|121079197|1128313176|11829700|0|3361765661|144075500|1218057|0|0|4768281291|299600|479578350|2323300|576154728|37680128|1054562576|48424392|7381200|366745411|2573149685
30-NOV-2022|ARTA|EQUITY|446674175|2430|0|41672500|0|0|398039925|0|0|0|0|439712425|0|0|0|13350|499500|0|6448900|0|0|6961750
30-NOV-2022|ARTI|EQUITY|7840000000|50|74373974|2633606286|739500000|0|3785359500|505451300|27983740|0|23750000|7790024800|0|0|0|100|19590400|0|8340700|0|20669000|48600200
30-NOV-2022|ARTO|EQUITY|13856250000|4590|106161340|7038018892|7813764|65500|1026327685|116873300|17237|336400|15|8295614133|12856883|1384857719|87811854|2229785782|555300|208151362|41046452|1894500|1355113515|5322073367
30-NOV-2022|ASBI|EQUITY|348386472|560|6281492|309537614|922|1106|17042744|0|332360|0|0|333196238|0|0|0|1380400|530170|0|1272928|0|0|3183498
30-NOV-2022|ASDM|EQUITY|192000000|945|0|31425700|0|13200|17046460|2000000|0|0|0|50485360|0|0|0|18000|481800|0|2252600|0|0|2752400
30-NOV-2022|ASGR|EQUITY|1348780500|955|1552500|2881460|0|178000|219970028|433300|128426|500|0|225144214|0|211300|5313000|49139054|620400|4438400|5113685|3453500|4116007|72405346
30-NOV-2022|ASHA|EQUITY|5000000000|128|0|3077018500|0|0|1920861500|0|0|0|0|4997880000|0|0|0|80500|2039500|0|0|0|0|2120000
30-NOV-2022|ASIA|EQUITY|2275009490|0|250000|16422970|0|83334|1022283678|0|3611365|0|22418500|1065069847|0|334|0|1720002|13516173|0|24374843|0|1153364243|1192975595
30-NOV-2022|ASII|EQUITY|40483553140|6050|2435268452|76718740|267739573|2935650|949425507|967079660|28604032|33627900|23443730|4784843244|230185968|491147722|1931863044|1548215464|4412020|5375524121|442758126|155655600|3290349451|13470111516
30-NOV-2022|ASJT|EQUITY|1400000000|133|30426303|45495533|1083564858|0|151557737|38311153|42070338|0|8322600|1399748522|0|0|0|28278|2600|0|220600|0|0|251478
30-NOV-2022|ASLC|EQUITY|12746354780|139|544178177|107085300|80538947|0|1256233360|149242800|493976|0|0|2137772560|0|181037925|0|2321000|209977700|0|1020000|0|323008900|717365525
30-NOV-2022|ASMI|EQUITY|8958380460|136|2693479000|2451283000|0|7658500|3695769460|23904800|42090400|0|6920800|8921105960|0|8600|0|8936500|21780300|2867500|2620100|0|1061500|37274500
30-NOV-2022|ASPI|EQUITY|681794825|101|0|350003000|0|0|331705625|0|0|0|0|681708625|0|100|0|36900|14200|0|30000|0|0|81200
30-NOV-2022|ASRI|EQUITY|19649411888|177|8120600|9637208160|22340600|0|3412762442|137109499|2209725184|15058500|0|15442324985|0|134466142|80918427|319179961|8007200|280733272|328479798|2427200|70424903|1224636903
30-NOV-2022|ASRM|EQUITY|304283840|1600|15213|33362779|0|0|9533825|0|2931|135|0|42914883|0|206504|0|30518|11075|0|367584|0|2140310|2755991
30-NOV-2022|ASSA|EQUITY|3566394560|860|47728901|1812876977|35554481|0|1316451007|62077224|1941964|4212800|400100|3281243454|1620100|3423207|4341900|39657304|118596200|11513975|10331343|0|95667077|285151106
30-NOV-2022|ATAP|EQUITY|1250000000|101|0|59500000|0|0|95734900|0|0|0|0|155234900|0|94708900|0|55200|1000|0|0|0|0|94765100
30-NOV-2022|ATIC|EQUITY|2315361355|400|0|797734018|0|0|495041016|0|0|0|0|1292775034|0|863645841|0|0|1463500|0|25000|0|0|865134341
30-NOV-2022|ATPK|EQUITY|5760245414|194|334100|3695100|18900|0|257874994|0|500|0|175000|262098594|0|3651000|3400000|366222000|1161500|0|516347807|0|99759129|990541436
30-NOV-2022|AUTO|EQUITY|4819733000|1520|556400|61464687|162275|0|350038543|17942250|4516601|73900|75|434754731|0|333171149|5963366|64053228|910575|85132000|21164148|3586200|13946546|527927212
30-NOV-2022|AVIA|EQUITY|61953555600|770|34562000|20748620200|38009000|0|349817800|155059400|1209|24367900|67200|21350504709|114204979|4754800720|607228321|307791665|236200|6496508678|214376952|12904900|1949200276|14457252691
30-NOV-2022|AXIO|EQUITY|5840126500|244|0|1889249300|115946200|0|838774400|0|0|0|185000|2844154900|0|66400|0|5178500|966700|0|0|0|0|6211600
30-NOV-2022|AYLS|EQUITY|853423236|68|0|594777000|0|0|257905236|0|0|0|0|852682236|0|0|0|500000|41000|0|200000|0|0|741000
